# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
116.1117	24.3981	3.57	+0.93	κ	77	Gem	-33.0	-52.0
253.0838	-38.0175	3.57	-0.21	μ²		Sco	-11.0	-24.0
275.2642	72.7328	3.57	+0.49	χ	44	Dra	532.0	-350.0
304.5137	-12.5447	3.57	+0.94	α²	6	Cap	64.0	4.0
109.5233	16.5403	3.58	+0.11	λ	54	Gem	-48.0	-37.0
217.9575	30.3714	3.58	+1.30	ρ	25	Boo	-100.0	119.0
234.2562	-28.1350	3.58	+1.38	υ	39	Lib	-9.0	3.0
185.3400	-60.4011	3.59	+1.42	ε		Cru	-175.0	87.0
21.0058	-8.1833	3.60	+1.06	θ	45	Cet	-79.0	-218.0
51.2033	9.0289	3.60	+0.89	ο	1	Tau	-66.0	-78.0
79.4017	-6.8444	3.60	-0.11	τ	20	Ori	-15.0	-8.0
86.1158	-22.4483	3.60	+0.47	γ	13	Lep	-293.0	-370.0
103.1971	33.9611	3.60	+0.10	θ	34	Gem	-2.0	-48.0
135.9062	47.1567	3.60	0.00	κ	12	UMa	-33.0	-54.0
142.6750	-40.4667	3.60	+0.36	ψ		Vel	-182.0	73.0
116.3137	-37.9686	3.61	+1.73				-10.0	2.0
152.6471	-12.3542	3.61	+1.01	λ	41	Hya	-202.0	-89.0
177.6738	1.7647	3.61	+0.55	β	5	Vir	743.0	-271.0
22.8708	15.3458	3.62	+0.97	η	99	Psc	28.0	-6.0
130.0733	-52.9219	3.62	-0.18				-22.0	19.0
195.5675	-71.5489	3.62	+1.18	δ		Mus	256.0	-21.0
253.6458	-42.3614	3.62	+1.37	ζ²		Sco	-124.0	-236.0
262.7746	-60.6839	3.62	-0.10	δ		Ara	-59.0	-96.0
266.4333	-64.7239	3.62	+1.19	η		Pav	-14.0	-54.0
345.4804	42.3261	3.62	-0.09	ο	1	And	23.0	-6.0
42.4958	27.2606	3.63	-0.10		41	Ari	67.0	-118.0
57.2904	24.0533	3.63	-0.09		27	Tau	18.0	-47.0
309.3875	14.5953	3.63	+0.44	β	6	Del	113.0	-33.0
176.4017	-66.7286	3.64	+0.16	λ		Mus	-103.0	37.0
64.9483	15.6275	3.65	+0.99	γ	54	Tau	115.0	-25.0
190.4150	-1.4494	3.65	+0.36	γ	29	Vir	-565.0	12.0
211.0971	64.3758	3.65	-0.05	α	11	Dra	-55.0	18.0
313.7025	-58.4542	3.65	+1.25	β		Ind	17.0	-26.0
9.2429	53.8969	3.66	-0.20	ζ	17	Cas	19.0	-9.0
234.6642	-29.7778	3.66	-0.17	τ	40	Lib	-15.0	-30.0
271.6579	-50.0917	3.66	-0.08	θ		Ara	-10.0	-14.0
347.3617	-21.1725	3.66	+1.22		88	Aqr	55.0	31.0
142.8821	63.0619	3.67	+0.33		23	UMa	109.0	28.0
