# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0313	G	50.24125	41.89383	14.79	B	1.26	0.87	42	
IC0315	G	49.78892	4.03856	15.49	B	0.68	0.33	45	
IC0316	GPair	50.33292	41.93056			0.80			
IC0316 NED01	G	50.33313	41.92894	15.24	B	0.45	0.17	116	
IC0316 NED02	G	50.33292	41.93192	15.03	B	1.06	0.79	64	
IC0317	G	49.73129	-12.74019	14.87	B	0.88	0.71	58	
IC0318	G	50.18263	-14.56822	14.72	B	1.08	0.45	134	
IC0320	G	51.49658	40.78903	15.34	B	1.12	0.91	99	
IC0321	G	51.12329	-14.98547	14.79	B	1.03	0.95	25	
IC0322	G	51.50196	3.68056	15.35	B	0.76	0.38	6	
IC0323	Other	52.38979	41.85508						
IC0325	G	52.70358	-7.04672	15.58	B	0.83	0.74	80	
IC0326	G	52.65254	-14.42556	15.41	B	1.13	0.84	101	
IC0327	G	52.79158	-14.69214	15.21	B	0.80	0.47	70	
IC0328	G	52.79563	-14.63786	14.59	B	0.67	0.48	16	
IC0329	G	53.00571	0.27944	15.14	B	1.00	0.48	63	
IC0330	G	53.03346	0.35339	14.98	B	1.02	0.32	73	
IC0331	G	53.07950	0.28256	14.83	B	0.91	0.91	105	
IC0332	G	53.15592	1.38256	15.32	B	0.97	0.50	44	
IC0333	Other	53.51408	-4.58489						
IC0334	G	56.32117	76.63831	11.50	V	2.34	1.85	58	
IC0335	G	53.87933	-34.44706	12.99	B	2.62	0.80	83	
IC0336	Neb	54.48767	23.36314						
IC0337	Other	54.26792	-6.72119						
IC0338	G	54.40875	3.11878	14.94	B	0.84	0.68	176	
IC0340	G	54.87129	-13.11511	14.76	B	1.61	0.58	90	
IC0341	Neb	55.23204	21.96019			134.90			
IC0342	G	56.70208	68.09636	9.68	B	19.77	18.79	0	
IC0343	G	55.02975	-18.44347	13.20	V	1.51	0.66	113	
IC0344	G	55.37304	-4.66586	14.92	B	0.89	0.47	42	
IC0345	G	55.28804	-18.31414	14.71	B	0.88	0.73	37	
IC0346	G	55.43608	-18.26697	12.64	V	1.95	1.47	69	
IC0347	G	55.63604	-4.29864	13.99	B	1.37	1.02	138	
IC0348	Cl+N	56.14246	32.16283			10.00	10.00		omi Per Cloud
IC0349	RfN	56.58379	23.93981			25.70			Barnard's Merope Nebula
IC0350	G	56.15271	-11.80075	14.95	B	1.09	0.79	165	
IC0351	PN	56.88754	35.04692	11.90	V	0.12			
IC0352	G	56.90596	-8.73183	15.65	B	0.70	0.48	119	
IC0353	Neb	58.25446	25.84800			181.97	30.20		
IC0354	Neb	58.49129	23.14700			128.82			
IC0355	G	58.44275	19.97392	15.40	V	0.67	0.56	161	
IC0356	G	61.94546	69.81244	10.24	V	4.02	3.73	90	
IC0357	G	60.93333	22.15911	14.60	B	0.94	0.61	147	
IC0358	G	60.92867	19.89494	15.21	B	1.18	0.28	63	
IC0359	G	63.11817	27.70197	15.39	B	1.30	1.30	105	
IC0359A	RfN	64.67083	28.29000			15.00	10.00		
IC0360	Neb	62.26071	26.13119			180.00	100.00		
IC0361	OCl	64.71125	58.24950	11.70	V	7.20			
IC0362	G	64.17679	-12.20011	14.18	B	1.77	1.03	5	
IC0363	G	64.73092	3.03303	15.20	B	0.33	0.31	25	
IC0364	G	64.77792	3.18894	15.27	B	0.78	0.49	72	
IC0365	G	64.80892	3.34833	14.84	B	0.88	0.56	34	
IC0366	G	64.92308	2.35981	15.66	B	0.34	0.20	20	
IC0367	G	65.17079	-14.78106	14.47	B	1.74	0.61	140	
IC0368	G	65.67800	-12.61517	15.08	B	0.99	0.83	164	
IC0369	G	65.86758	-11.79008	15.37	B	0.76	0.76	35	
IC0370	G	66.00696	-9.39483	14.94	B	0.99	0.89	123	
IC0372	G	67.51767	-5.00997	15.32	B	0.97	0.45	30	
IC0373	G	67.67817	-4.87025	15.04	B	0.98	0.76	109	
IC0374	G	68.13646	16.63417	15.81	B	0.23	0.19	80	
IC0375	G	67.76308	-12.97397	15.24	B	0.82	0.54	59	
IC0376	G	67.80746	-12.43336	16.05	B	0.59	0.48	50	
IC0377	G	67.81892	-12.45508	14.84	B	1.00	0.83	99	
IC0378	G	67.86633	-12.29975	15.60	B	0.79	0.48	69	
IC0379	G	67.96221	-7.23836	14.70	B	0.93	0.82	35	
IC0380	G	67.92217	-12.92703	15.25	B	0.76	0.46	75	
IC0382	G	69.48146	-9.51933	13.53	B	1.99	1.18	173	
IC0383	G	69.74179	9.89253	15.60	B	0.63	0.56	36	
IC0384	G	69.82617	-7.83911	15.14	B	0.49	0.48	94	
IC0385	G	69.88108	-7.09747	15.41	B	1.15	0.58	107	
IC0387	G	70.43421	-7.08619	12.99	V	1.60	1.11	84	
IC0388	GPair	70.47221	-7.30553			1.00			
IC0388 NED01	G	70.46842	-7.30464	16.20	B	0.54	0.44	54	
IC0388 NED02	G	70.47633	-7.30647	15.91	B	0.89	0.40	10	
IC0389	G	70.49842	-7.31147	15.07	B	1.09	0.82	20	
IC0390	G	70.51613	-7.20644	15.48	B	1.14	0.40	35	
IC0391	G	74.33804	78.18883	12.68	V	1.39	1.33	25	
IC0392	G	71.60733	3.50556	13.47	B	1.45	1.00	168	
IC0393	G	71.96583	-15.52519	14.87	B	0.81	0.77	7	
IC0394	Other	72.21129	-6.28019						
IC0396	G	74.49579	68.32339	13.08	B	2.38	1.45	86	
IC0397	Other	75.27763	40.42489						
IC0398	G	74.55233	-7.78025			1.18	0.34	2	
IC0399	G	75.43337	-4.28875	14.80	V	0.54	0.45	81	
IC0400	G	75.94017	-15.81908	16.70	B	1.55	0.17	117	
IC0401	G	76.08183	-10.07653	13.94	B	1.75	0.58	55	
IC0402	G	76.56179	-9.10742	14.40	B	1.26	0.56	146	
IC0403	Other	78.81538	39.97211						
IC0404	G	78.33167	9.75492	15.50	B	0.73	0.53	130	
IC0405	Neb	79.12283	34.35617	10.00	B	50.00	30.00		Flaming Star Nebula
IC0406	Other	79.45417	39.88603						
IC0407	G	79.42754	-15.52344	14.20	B	1.93	0.36	164	
IC0408	G	79.93692	-25.06433	13.85	B	1.95	0.97	162	
IC0409	GPair	79.88979	3.31839			0.95	0.72	19	
IC0410	Neb	80.67500	33.36667			40.00	30.00		
IC0411	G	80.07754	-25.32450	14.13	B	1.36	1.00	129	
IC0412	G	80.48625	3.48639	14.62	B	1.17	0.65	0	
IC0413	G	80.49492	3.48217	14.68	B	1.08	0.80	140	
IC0414	G	80.47900	3.34203	14.40	V	0.60	0.44	140	
IC0415	G	80.34012	-15.54258	15.45	B	0.76	0.58	148	
IC0416	G	80.98492	-17.26042	13.90	B	1.41	0.70	71	
IC0417	HII	82.02500	34.42394			13.00	10.00		
IC0418	PN	81.86746	-12.69728	9.44	V	0.20			
IC0419	Other	82.71675	30.11792						
IC0420	Neb	83.03958	-4.50475			6.03			
IC0421	G	83.03575	-7.91833	12.60	B	2.96	2.22	108	
IC0422	G	83.07729	-17.22386			1.04	0.93	130	
IC0423	Neb	83.34171	-0.61450			6.00	3.50	90	
IC0424	Neb	83.40517	-0.41314			2.50	1.70		
IC0425	Other	84.29133	32.42967						
IC0426	Neb	84.13075	-0.29831			10.00	3.00		
IC0427	Neb	84.07508	-6.61644						
IC0428	Neb	84.10088	-6.45156						
IC0429	Neb	84.57858	-7.04050						
IC0430	Neb	84.64987	-7.08311	14.40	V	10.96			
